name,description,location,address,phone,email,website,image_url,lat,lng,hours,category_raw,primary_category_slug,primary_subcategory_slug,verified,status,price_range,is_system,is_hidden
Mop Hair Salon,"Mop Hair Salon is a contemporary hair salon in Cape Town offering precision cuts, colouring, and styling in a relaxed, modern space. It's known for its skilled stylists and personalised approach to hair care.",City Centre,"127 Bree Street, Cape Town, South Africa, 8000",+27 21 424 5299,info@mophair.co.za,https://www.mophair.co.za/,,,,"{""raw"": ""Monday: Closed Tuesday - Friday: 09:00 - 17:00 Saturday: 08:00 - 15:00 Sunday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Scar Hair,"Scar Hair is a professional hair salon specialising in colour treatments, styling, and hair maintenance services. It's known for delivering tailored looks that suit each client's lifestyle and preferences.",City Centre,"133 Bree Street, Cape Town, South Africa",+27 21 422 5900,thedesk@scarhair.com,https://scarhair.com/,,,,"{""raw"": ""Tuesday - Friday: 09:00 - 18:00 Saturday: 09:00 - 16:00 Sunday - Monday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Ierephaan Hair Salon,"Ierephaan Hair Salon offers professional hair cutting, colouring, and styling services in a welcoming environment. It's known for quality workmanship and attention to detail.",City Centre,"74 Bree Street, Cape Town, South Africa, 8001",,ierephaan@gmail.com,https://ierephaan.com/,,,,,Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Spoilt Hair Salon,"Spoilt Hair Salon provides a full range of hair services including colour, treatments, and styling. It's popular for its friendly service and focus on helping clients maintain healthy, beautiful hair.",Gardens,"1st Fl. Lifestyle Centre, 50 Kloof St., Gardens, Cape Town",+27 82 568 5378,spoilthairsalon@gmail.com,https://spoilthairsalon.co.za/,,,,"{""raw"": ""Monday - Friday: 08:30 - 17:30 Saturday: 08:00 - 16:00. Sunday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
SYZYGY Hair Design,"SYZYGY Hair Design is a boutique hair salon offering precision cuts, colour services, and styling. It's known for its creative approach and personalised client experience.",City Centre,"79 Loop St, Cape Town City Centre, Cape Town, 8000, South Africa",+27 21 423 9443,,https://www.fresha.com/lvp/syzygy-hair-design-loop-street-cape-town-JQVDMB,,,,"{""raw"": ""Monday - Saturday: 07:00 - 17:00 Sunday: 09:00 - 14:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Excentric on Kloof,"Excentric on Kloof is a stylish hair salon offering cutting-edge colour, cuts, and styling services. It's known for its trendy atmosphere and fashion-forward hair designs.",Gardens,"39 Kloof Street, Gardens, Cape Town",+27 21 001 6445,onkloof@excentric-hair.co.za,https://www.excentric-hair.co.za/about-us,,,,"{""raw"": ""Monday - Friday: 09:00 - 18:00 Saturday: 09:00 - 16:00 Sunday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
The Glam Bar,"The Glam Bar is a beauty salon offering hair styling, makeup, and beauty treatments in a chic, social setting. It's popular for event prep, blow waves, and group bookings.",Green Point,"Unit 2, Winston Place, 65 Main Road, Green Point, Cape Town, 8005",+27 72 060 3452,info@theglambar.co.za,https://www.theglambar.co.za/,,,,,Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Blessing Beauty Salon,"Blessing Beauty Salon offers a variety of hair and beauty treatments including styling, braiding, and grooming services. It's known for its welcoming service and affordable pricing.",City Centre,"106 Adderley Street, Cape Town City Centre, Cape Town, 8000, South Africa",+27 62 125 7595,,https://www.fresha.com/lvp/blessing-beauty-salon-106-adderley-cape-town-D7L9aR,,,,,Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Mama Demba Hair Salon & Beauty Spa,"Mama Demba Hair Salon and Beauty Spa provides hair, beauty, and spa treatments in a relaxed setting. It's known for its wide range of services and community- focused atmosphere.",City Centre,"Market House, 15 Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",+27 73 812 1799,,https://www.fresha.com/lvp/mama-demba-hair-salon-beauty-spa-shortmarket-street-cape-town-znJl38,,,,"{""raw"": ""Monday - Saturday: 08:00 - 20:00 Sunday: 10:00 - 17:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
The Studio Barbershop,"The Studio Barbershop is a modern barbershop offering precision haircuts, beard trims, and grooming services. It's known for its clean aesthetic and professional service.",Observatory,"319 Main Road, Observatory, Cape Town",,,https://www.fresha.com/a/the-studio-barbershop-cape-town-319-main-road-td4hhks2,,,,"{""raw"": ""Monday - Friday: 09:00 - 19:00 Saturday - Sunday: 10:00 - 17:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Sleek Barbershop Cape Town,"Sleek Barbershop Cape Town offers modern haircuts, fades, and beard grooming services. It's known for its sharp finishes and contemporary barbershop environment.",Bo-Kaap,"40 Dorp Street, Bo Kaap, Cape Town, 8000",+27 79 694 2188,info@sleekbarbershop.co.za,https://www.sleekbarbershop.co.za/,,,,"{""raw"": ""Monday - Wednesday: 09:00 - 18:00 Thursday: 09:00 - 20:00 Friday: 09:00 - 12:30 & 13:00 - 20:00 Saturday: 09:00 - 20:00 Sunday: 09:00 - 15:00 Public Holidays: 09:00 - 15:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Yogis Barbershop,"Yogis Barbershop provides classic and modern men's haircuts and grooming services. It's popular for its reliable service and relaxed, friendly atmosphere.",City Centre,"103 Buitengracht Street, Cape Town, South Africa",+27 21 424 5408,barbershop@yogis.co.za,https://yogis.co.za/,,,,"{""raw"": ""Monday - Thursday: 08:30 - 16:45 Friday: 08:30 - 12:30 & 14:00 - 16:45 Saturday: 07:30 - 13:00 Sunday: Closed Public Holidays: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Barnet Fair Barber Shop Sea Point,"Barnet Fair Barbers is a traditional-style barbershop offering classic cuts, fades, and beard trims. It's known for its skilled barbers and old- school barbershop feel.",Sea Point,"Shop 2, The Odeon, 20 Regent Road, Sea Point, 8001",+27 67 172 7543,coolbarbers@gmail.com,https://barnetfairbarbers.com/,,,,"{""raw"": ""Monday: Closed Tuesday - Friday: 09:00 - 18:00 Saturday: 09:00 - 15:00 Sunday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Hermanos Barber Shop Loop Street,"Hermanos Barber Shop on Loop Street is a premium barbershop offering precision cuts, fades, and grooming services. It's known for its stylish interior and high-quality barbering.",City Centre,"174 Loop Street, Cape Town",+27 21 422 1294,info@hermanos.co.za,https://hermanos.co.za/,,,,"{""raw"": ""Monday: Closed Tuesday - Friday: 08:30 - 18:00 Saturday: 09:00 - 16:00 Sunday: Closed Public Holidays: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Billy's Barbershop,Billy's Barbershop offers classic and modern men's haircuts and grooming services. It's known for its consistent quality and relaxed barbershop environment.,City Centre,"4 Bree Street, Portside Building, Shop 4, 8001, Cape Town",+27 61 823 5702,,https://booksy.com/en-za/15580_billys-barbershop-bree_barbers_58419_kaapstad#ba_s=seo,,,,"{""raw"": ""Sunday: 09:00 - 14:00 Monday - Thursday: 09:00 - 18:00 Friday: 09:00 - 12:30 & 14:00 - 18:00 Saturday: 08:30- 15:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Psycho Barber,"Psycho Barber is a bold, modern barbershop known for creative cuts, fades, and grooming services. It's popular for its edgy style and attention to detail.",City Centre,"45 Shortmarket St, Cape Town City Centre, Cape Town, 8001",+27 83 697 4740,,https://psychobarber.co.za/,,,,"{""raw"": ""Monday - Friday: 09:00 - 16:00 Saturday: 09:00 - 13:00 Sunday: Closed"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Legends Barbershop Cape Town,"Legends Barbershop cape Town is a well- known barbershop chain offering modern haircuts, fades, and grooming services. It's popular for its consistent service and urban barbershop culture.",City Centre,"297 Long Street, Cape Town, 8000",,enquiries@tlbs.co.za,https://legends-barber.com/store-locator/cape-town/,,,,,Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Barbarossa Lounge Cape Town,"Barbarossa Lounge is a premium grooming lounge offering haircuts, beard grooming, and styling services. It's known for its luxury experience and attention to detail.",City Centre,"24 Hans Strijdom Ave, Shop C4, Cape Town City Centre, 8000",+27 72 206 1976,,https://www.barbarossa.co.za/#home,,,,,Beauty & Wellness,beauty-wellness,salons,false,active,$$,false,false
Virgin Active Cape Town Foreshore,"Part of the Virgin Active chain, Virgin Active Foreshore is a full-service gym/ health club offering strength training, cardio facilities, group classes, and wellness amenities. It's known for its modern equipment and central city location.",City Centre,"17 Rua Bartholomeu Dias Plain, Cape Town City Centre, Cape Town, 8000",+27 21 495 8369,,https://www.virginactive.co.za/gyms/cape-town-foreshore,,,,"{""raw"": ""Monday - Thursday: 05:00 - 22:00 Friday: 05:00 - 21:00 Saturday - Sunday: 06:00 - 20:00 Public Holidays: 06:00 - 20:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,gyms,false,active,$$,false,false
Zone Fitness Cape Quarter,"Zone Fitness Cape Quarter is a modern gym offering strength training equipment, cardio areas, and group fitness classes. It's popular for its accessibility and value-focused memberships.",De Waterkant,"Cape Quarter, The Square, Corner of Somerset and Napier St, De Waterkant, Cape Town",+27 21 425 9472,,https://zonefitness.co.za/cape-quarter/,,,,"{""raw"": ""Monday - Thursday - 06:00 - 21:00 Friday: 06:00 - 20:00 Saturday - Sunday: 07:00 - 15:00 Public Holidays: 07:00 - 15:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,gyms,false,active,$$,false,false
Horizen Gym Sea Point,"Horizen Gym Sea Point is a local fitness gym offering strength, cardio, and training facilities. It's known for its community feel and central location.",Sea Point,"126 Main Rd, Sea Point, Cape Town",+27 66 216 7716,movement@horizengym.com,https://www.horizengym.com/,,,,"{""raw"": ""Monday - Friday: 05:30 - 21:00 Saturday - Sunday: 08:00 - 17:00"", ""friendly"": null}",Beauty & Wellness,beauty-wellness,gyms,false,active,$$,false,false
Skoon Laundromats,Skoon Laundromats provides self- service laundry facilities with modern machines and convenient service options. It's known for its clean spaces and efficient washing and drying services.,City Centre,"4 Bree Street, Portside Towers, Cape Town, City Centre, 8001",+27 81 667 6782,getintouch@skoonlaundromats.co.za,https://skoonlaundromats.co.za/,,,,"{""raw"": ""Monday - Friday: 07:00 - 18:00 Saturday: 08:00 - 17:00 Sunday: 08:00 - 14:00"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
I Love My Laundry Buitengracht,"I Love My Laundry Buitengracht offers wash, dry, and folding services for everyday laundry needs. It's known for its fast turnaround times and convenient CBD location.",City Centre,"59 Buitengracht Street, Cape Town",+27 73 108 6342,info@ilovemylaundry.com,https://www.ilovemylaundry.com/,,,,"{""raw"": ""Monday - Saturday: 08:00 - 17:00 Sunday: Closed Public Holidays: 09:00 - 13:00"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
Wsh Laundry & Dry Cleaning Cape Town CBD,Wsh Laundry & Dry Cleaning Cape Town CBD provides professional laundry and dry cleaning services for clothing and household items. It's known for its eco-conscious approach and quality garment care.,City Centre,"Shop No 6a, Icon Building, Corner Lower Long and Hands Strijdom, Cape Town",+27 21 425 6775,iconcbd@wosh.co.za,https://wosh.co.za/gad_source=1&gad_campaignid=16730879697&gbraid=0AAAAABVdEqUzp9QtGCFp1XGfJsda8I8iM&gclid=CjwKCAiAqKbMBhBmEiwAZ3UboN3eV7d2Vdxr3dHlCnsSxJfrFkY6WqTz_pZHa4DPS_v-SQHcV9Gh8BoC4TMQAvD_BwE,,,,"{""raw"": ""Monday - Friday - 08:00 - 16:00 Saturday - Sunday: - Closed"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
The Launderers Kloof Street,"The Launderers Kloof Street offers laundry, dry cleaning, and garment care services. It's known for its premium service and attention to fabric care.",Gardens,"Shop 2B Lifestyle on Kloof, 50 Kloof Road, Gardens, Cape Town",+27 84 443 9786,clean@thelaunderers.co.za,https://thelaunderers.co.za/,,,,"{""raw"": ""Monday - Friday: 07:00 - 18:30 Saturday - Sunday: 08:00 - 17:00"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
What The Fluff Laundromat,"What The Fluff Laundromat is a modern self-service laundromat offering washing and drying facilities. It's known for its bright, fun branding and easy- to-use machines.",V&A Waterfront,"P3 Level Unit 002, Portwoods Parking Garage, Portwoods Precinct, V&A Waterfront, 8001",+27 76 528 1303,wayne@whatthefluff.co.za,https://www.whatthefluff.co.za/,,,,"{""raw"": ""Monday - Friday: 07:00 - 17:00 Saturday: 08:00 - 13:00"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
Neovision Optometrist Palmyra Junction,Neovision Optometrist Palmyra Junction is a professional eye care clinic offering comprehensive eye tests and a range of eyewear including prescription glasses and sunglasses. It focuses on quality service and personalised vision solutions for local patients.,Claremont,"Shop 13/14, Palmyra Junction, 9 Palmyra Road, Claremont",+27 21 671 4209,,https://www.neovision.co.za/stores/palmyra-junction/gad_source=1&gad_campaignid=21205695481&gbraid=0AAAAADuk4L9Mn1fKSERoyB8yix0vRzFb9&gclid=CjwKCAiAqKbMBhBmEiwAZ3UboE6Ee_JQaKhfEOud3U-jvewvPst6V4UOvVyzlvHpHy9LBsp7-IjzlxoC-sgQAvD_BwE,,,,"{""raw"": ""Monday - Friday - 09:00 - 17:30 Saturday: 09:00 - 14:00 Sunday: Closed Public Holidays: Closed"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
Optique Optometrists Cape Town,"Optique Optometrists Cape Town is an eye care practice providing eye exams, glasses, contact lenses, and affordable eyewear solutions with transparent pricing. It aims to make eye care simple and accessible for all.",Foreshore,"Shop 10b, Foreshore Building, 2a Riebeek St, Foreshore, Cape Town, 8001",+27 78 540 3323,hello@optique.co.za,https://optique.co.za/pages/optometrist-in-cape-townsrsltid=AfmBOoocY5v6p9yAqgaSUyQVcLneSoqEcACjbLwUFfA_9ruPjmqwfyd8,,,,"{""raw"": ""Monday - Friday: 08:30 - 17:00 Saturday: 08:30 - 13:00 Sunday: Closed"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
Spec-Savers St Georges Mall,"Spec Savers St Georges Mall is an optometry clinic offering professional eye tests and a range of affordable glasses and contact lenses, backed by a national eye care brand.",City Centre,"Shop 2 Allianz House, 52 St Georges Mall Corner Castle And St Georges Street, Cape Town City Centre, Cape Town",+27 21 424 4064,stgeorge@specstores.co.za,https://www.specsavers.co.za/store/st-georges-mallgad_source=1&gad_campaignid=21503200463&gbraid=0AAAAADSSL0IxdRnGeuo31tjWaZBOM1XzP&gclid=CjwKCAiAqKbMBhBmEiwAZ3UboNetSHFjaHcff0vg84bcSMNW568g2OUn9cHOAr69z2JJx_VAQ3g3xBoC6TsQAvD_BwE,,,,"{""raw"": ""Monday - Friday: 09:00 - 17:00 Saturday: 09:00 - 13:00 Sunday: Closed Public Holidays: Closed"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
The Saben Spectacle Co.,The Saben Spectacle Co is an optometrist and eyewear provider in Cape Town's city centre offering comprehensive eye exams and a curated selection of stylish frames and lenses.,City Centre,"22 Bree Street, Cape Town",+27 21 418 1191,mike@sabenspecs.co.za,https://www.sabenspecs.co.za/,,,,"{""raw"": ""Monday - Friday: 07:30 - 16:15 Saturday - Sunday: Closed"", ""friendly"": null}",Professional Services,professional-services,miscellaneous,false,active,$$,false,false
One&Only Cape Town,"One&Only Cape Town is a luxury waterfront resort hotel at the V&A Waterfront known for its premium accommodation, spa, and dining experiences with views of Table Mountain and the harbour.",V&A Waterfront,,+27 21 431 5888,reservations@oneandonlycapetown.com,https://www.oneandonlyresorts.com/cape-town,,,,,Travel,travel,accommodation,false,active,$$,false,false
InterContinental Table Bay Cape Town,"InterContinental Table Bay Cape Town is a fivestar hotel located on the V&A Waterfront offering elegant rooms, harbour views, and upscale amenities for leisure and business travellers.",V&A Waterfront,"Quay 6 Victoria and Alfred Waterfront, Cape Town, 8001, South Africa",+27 21 406 5000,reservations@ictablebay.com,https://www.ihg.com/intercontinental/hotels/us/en/cape-town/cpttb/hoteldetail,,,,,Travel,travel,accommodation,false,active,$$,false,false
"Mount Nelson, A Belmond Hotel, Cape Town","Mount Nelson, A Belmond Hotel, Cape Town is a historic luxury hotel in Cape Town's Gardens district, set in lush gardens and known for its refined service, classic style, and iconic afternoon tea tradition.",Gardens,"76 Orange Street, Gardens, Cape Town, 8001 South Africa",+27 21 483 1000,,https://www.belmond.com/hotels/africa/south-africa/cape-town/belmond-mount-nelson-hotel/srsltid=AfmBOooUrzXdqLEZf9ZzETNQOexy56qt1z37JbtDS0wPPnnguAkhqcgT,,,,,Travel,travel,accommodation,false,active,$$,false,false
The Silo Hotel,"The Silo Hotel is a highend contemporary hotel in the V&A Waterfront's Silo District, celebrated for its striking architecture, artistic design, and panoramic city and harbour views.",Cape Town,,+27 21 671 5502,reservations@trp.travel,https://www.theroyalportfolio.com/the-silo-hotel/,,,,,Travel,travel,accommodation,false,active,$$,false,false
Pepperclub Hotel,"Pepperclub Hotel is an urban boutique hotel in Cape Town's city centre offering stylish accommodation, a rooftop pool, and easy access to local attractions.",City Centre,"167 Loop St, Cape Town City Centre, Cape Town, 8005",+27 21 812 8888,info@pepperclub.co.za,https://www.pepperclub.co.za/srsltid=AfmBOopLf1PGKycDY42KnlqOF7_bg85bZxVy-4vyKNdSH8t4PmmHqMfh,,,,,Travel,travel,accommodation,false,active,$$,false,false
Dorp Hotel,"Dorp Hotel is a boutique hotel perched on the slopes of Signal Hill with cleverly styled rooms and a relaxed atmosphere, blending local character with comfort.",City Centre,"273 Longmarket St, Schotsche Kloof, Cape Town",+27 21 612 0298,reservations@dorp.co.za,https://dorp.co.za/utm_source=google&utm_medium=cpc&utm_campaign=%28Search%29-Brand%5BSA%5D&utm_content=Brand%28SA%29&keyword=dorp%20hotel%20cape%20town&device=c&network=g&placement&gad_source=1&gad_campaignid=22790334675&gbraid=0AAAABAmG7KDLDf9h8GBl-GUHXSFF-Np6I&gclid=CjwKCAiAqKbMBhBmEiwAZ3UboIn1D-eowsbQZguiDMWbcV444iCdjH8QFeYnj5aSHmvbqLH9jr-2DRoCfc0QAvD_BwE,,,,,Travel,travel,accommodation,false,active,$$,false,false
Cape Town International Airport,"Cape Town International Airport is the main airport serving Cape Town and the Western Cape, providing domestic and international flights with passenger amenities.",Matroosfontein,"Cape Town International Airport, Matroosfontein, Cape Town",,customercare@airports.co.za,https://www.airports.co.za/airports/cape-town-international-airport,,,,"{""raw"": ""Monday - Sunday 24 Hours"", ""friendly"": null}",Travel,travel,transport,false,active,$$,false,false
AVIS Car Rental Cape Town Airport,"AVIS Car Rental at Cape Town International Airport offers vehicle hire services for travellers arriving by air, including a range of cars for business or leisure use.",Matroosfontein,"Cape Town International Airport, Matroosfontein, Cape Town",+27 21 927 8800,,https://www.avis.co.za/drive-avis/car-hire-locations/africa/south-africa/cape-town/cape-town-international-airportgad_source=1&gad_campaignid=20880576653&gbraid=0AAAAAqmgLDbef8EAbe9wQ1OK9vNk4_nej&gclid=CjwKCAiAqKbMBhBmEiwAZ3UboEa1jzPIN0ituzvN_BKlk9wMNdWou2e6EtXR0U0nSsjl1zhmA3hfKRoC-hEQAvD_BwE,,,,"{""raw"": ""Monday - Sunday 24 Hours"", ""friendly"": null}",Travel,travel,transport,false,active,$$,false,false
Cavendish Square,"Cavendish Square is a major shopping centre in Claremont featuring a variety of retail shops, restaurants, services, and entertainment options.",Claremont,"1 Dreyer St, Claremont, Cape Town",+27 21 657 5600,info.cavendish@epsgroup.co.za,https://cavendish.co.za/,,,,"{""raw"": ""Monday - Saturday: 09:00 - 19:00 Sunday: 09:00 - 17:00 Public Holidays: 09:00 - 17:00"", ""friendly"": null}",Shopping & Lifestyle,shopping-lifestyle,miscellaneous,false,active,$$,false,false
Let's Go Bowling,Let's Go Bowling is a leisure and entertainment venue offering bowling lanes and familyfriendly activities for groups and casual outings.,Claremont,"Stadium on Main, Main Road, Claremont, Cape Town",+27 87 378 0891,stadium@letsgobowling.co.za,https://www.letsentertainu.com/,,,,"{""raw"": ""Monday - Friday: 10:00 - 22:00 Saturday: 09:00 - 22:00 Sunday: 10:00 - 21:00"", ""friendly"": null}",Entertainment & Experiences,experiences-entertainment,sports-recreation,false,active,$$,false,false
Scratch Patch V&A Waterfront,"Scratch Patch V&A Waterfront is a tourist attraction where visitors can search through semiprecious gemstones and minerals, and indulge in an 18- hole round of cave golf, creating a fun and interactive experience for the whole family.",V&A Waterfront,"Dock Road, V&A Waterfront, Cape Town",+27 21 786 2020,,https://www.scratchpatch.co.za/home/srsltid=AfmBOoomMkcrwruP8_c8pbYge91qMpmfFROYCUjUndqt6-i7mV9zZCPe,,,,"{""raw"": ""Monday - Friday: 09:00 - 16:45 Saturday - Sunday: 09:00 - 17:00 Public Holidays: 09:00 - 17:00"", ""friendly"": null}",Entertainment & Experiences,experiences-entertainment,sports-recreation,false,active,$$,false,false
